Disease,Symptom,Weight
Paralysis (brain hemorrhage),altered_sensorium,114
Paralysis (brain hemorrhage),headache,108
Paralysis (brain hemorrhage),vomiting,108
Paralysis (brain hemorrhage),weakness_of_one_body_side,108
Peptic ulcer diseae,abdominal_pain,114
Peptic ulcer diseae,indigestion,108
Peptic ulcer diseae,internal_itching,114
Peptic ulcer diseae,loss_of_appetite,108
Peptic ulcer diseae,passage_of_gases,114
Peptic ulcer diseae,vomiting,114
Pneumonia,breathlessness,114
Pneumonia,chest_pain,120
Pneumonia,chills,114
Pneumonia,cough,114
Pneumonia,fast_heart_rate,120
Pneumonia,fatigue,114
Pneumonia,high_fever,114
Pneumonia,malaise,114
Pneumonia,phlegm,114
Pneumonia,rusty_sputum,120
Pneumonia,sweating,114
Psoriasis,inflammatory_nails,114
Psoriasis,joint_pain,114
Psoriasis,silver_like_dusting,114
Psoriasis,skin_peeling,114
Psoriasis,skin_rash,114
Psoriasis,small_dents_in_nails,114
Tuberculosis,blood_in_sputum,120
Tuberculosis,breathlessness,114
Tuberculosis,chest_pain,120
Tuberculosis,chills,114
Tuberculosis,cough,114
Tuberculosis,fatigue,114
Tuberculosis,high_fever,114
Tuberculosis,loss_of_appetite,120
Tuberculosis,malaise,120
Tuberculosis,mild_fever,120
Tuberculosis,phlegm,120
Tuberculosis,sweating,114
Tuberculosis,swelled_lymph_nodes,120
Tuberculosis,vomiting,114
Tuberculosis,weight_loss,114
Tuberculosis,yellowing_of_eyes,120
Typhoid,abdominal_pain,114
Typhoid,belly_pain,114
Typhoid,chills,120
Typhoid,constipation,114
Typhoid,diarrhoea,114
Typhoid,fatigue,120
Typhoid,headache,114
Typhoid,high_fever,120
Typhoid,nausea,114
Typhoid,toxic_look_(typhos),114
Typhoid,vomiting,114
Urinary tract infection,bladder_discomfort,114
Urinary tract infection,burning_micturition,108
Urinary tract infection,continuous_feel_of_urine,114
Urinary tract infection,foul_smell_of urine,102
Varicose veins,bruising,114
Varicose veins,cramps,114
Varicose veins,fatigue,114
Varicose veins,obesity,114
Varicose veins,prominent_veins_on_calf,114
Varicose veins,swollen_blood_vessels,108
Varicose veins,swollen_legs,114
hepatitis A,abdominal_pain,114
hepatitis A,dark_urine,114
hepatitis A,diarrhoea,114
hepatitis A,joint_pain,114
hepatitis A,loss_of_appetite,114
hepatitis A,mild_fever,120
hepatitis A,muscle_pain,120
hepatitis A,nausea,114
hepatitis A,vomiting,114
hepatitis A,yellowing_of_eyes,120
hepatitis A,yellowish_skin,114
